epoch,accuracy,dice_coef,loss,lr,mean_io_u_4,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_4,val_precision,val_sensitivity,val_specificity
0,0.9779291749000549,0.26629555225372314,0.2773088812828064,0.001,0.3756502568721771,0.9761367440223694,0.9621695280075073,0.9937309622764587,0.9795972108840942,0.2848379909992218,0.07951187342405319,0.3756631016731262,0.9793182611465454,0.9793147444725037,0.993133544921875
1,0.9810733199119568,0.2802298069000244,0.07744358479976654,0.001,0.3756502568721771,0.981526255607605,0.979413628578186,0.9938597083091736,0.9795975089073181,0.3068862855434418,0.0751546248793602,0.3756631016731262,0.9821674227714539,0.9783972501754761,0.994051456451416
2,0.981137216091156,0.2852800488471985,0.08083900809288025,0.001,0.3756502866744995,0.9824747443199158,0.9795952439308167,0.9941635131835938,0.9795972108840942,0.27580738067626953,0.08401735126972198,0.3756631016731262,0.9794927835464478,0.9795149564743042,0.9931665658950806
3,0.9810802936553955,0.28401267528533936,0.07523219287395477,0.001,0.3756502568721771,0.9820024371147156,0.978943943977356,0.9940119981765747,0.9795973300933838,0.29406797885894775,0.07509317249059677,0.37566307187080383,0.9794836044311523,0.9792965054512024,0.9931848645210266
4,0.9810736179351807,0.3028146028518677,0.063949815928936,0.00020000001,0.3756503164768219,0.9826602935791016,0.9806934595108032,0.994228184223175,0.9795975685119629,0.3221468925476074,0.06562180817127228,0.3756631016731262,0.9849973320960999,0.9766730070114136,0.9949665665626526
5,0.9811517596244812,0.3298174738883972,0.05748925730586052,0.00020000001,0.3756502568721771,0.9873127341270447,0.9787116050720215,0.9957239031791687,0.9821350574493408,0.3464163541793823,0.057640060782432556,0.37566307187080383,0.989811360836029,0.9765276312828064,0.9964913129806519
6,0.983790397644043,0.35169851779937744,0.05219258740544319,0.00020000001,0.3756502568721771,0.9900133013725281,0.978328287601471,0.9965556263923645,0.9820838570594788,0.3505515158176422,0.062377430498600006,0.37566307187080383,0.985035240650177,0.9793077707290649,0.9949640035629272
7,0.9851665496826172,0.37085846066474915,0.047377340495586395,0.00020000001,0.3756502866744995,0.9900926351547241,0.9799330830574036,0.9965792298316956,0.9849098324775696,0.3937323987483978,0.048279110342264175,0.3756631016731262,0.9921032786369324,0.9767995476722717,0.9971617460250854
8,0.9857568740844727,0.3890266716480255,0.044126491993665695,0.00020000001,0.37565022706985474,0.9905383586883545,0.9802519083023071,0.9967278838157654,0.9851125478744507,0.4064091145992279,0.04897966980934143,0.3756631016731262,0.988548994064331,0.980921745300293,0.9960883855819702
9,0.9866374135017395,0.4063117802143097,0.04085327684879303,0.00020000001,0.3756502866744995,0.9909088611602783,0.9816550016403198,0.9968512654304504,0.9853234887123108,0.40978381037712097,0.04756365343928337,0.37566307187080383,0.9920617938041687,0.9778555631637573,0.9971734881401062
10,0.9874261617660522,0.4298798739910126,0.036816395819187164,0.00020000001,0.37565019726753235,0.9914172887802124,0.9830700755119324,0.9970294833183289,0.986470103263855,0.43760237097740173,0.04177312180399895,0.37566307187080383,0.991499125957489,0.9813157320022583,0.9970605373382568
11,0.9879904389381409,0.4433135688304901,0.035617001354694366,0.00020000001,0.37565022706985474,0.9912614226341248,0.9841585159301758,0.9969958662986755,0.9867372512817383,0.4352917969226837,0.040358927100896835,0.37566304206848145,0.9887685775756836,0.9843427538871765,0.9962224364280701
12,0.9885579347610474,0.4561045467853546,0.03314001113176346,0.00020000001,0.37565022706985474,0.9916591644287109,0.9848513603210449,0.9971328377723694,0.9879975914955139,0.4642908275127411,0.03685219585895538,0.37566307187080383,0.9916799664497375,0.9839680790901184,0.9971262216567993
13,0.9890171885490417,0.47376587986946106,0.031669724732637405,0.00020000001,0.37565022706985474,0.9918764233589172,0.9855728149414062,0.9972080588340759,0.9878281354904175,0.47063130140304565,0.03599254786968231,0.37566307187080383,0.9916849136352539,0.9836017489433289,0.9971259832382202
14,0.9885660409927368,0.47789132595062256,0.03240453079342842,0.00020000001,0.37565022706985474,0.9913780093193054,0.9852803349494934,0.9970535039901733,0.9879359602928162,0.48910951614379883,0.03596515581011772,0.37566307187080383,0.991450846195221,0.9840702414512634,0.9970690011978149
15,0.9897242784500122,0.49820688366889954,0.02922581136226654,0.00020000001,0.37565019726753235,0.9921245574951172,0.9866214990615845,0.9972996711730957,0.9886808395385742,0.49487969279289246,0.03418818116188049,0.3756631016731262,0.9911117553710938,0.9859079122543335,0.9969668984413147
16,0.9901555180549622,0.5085803270339966,0.028027422726154327,0.00020000001,0.37565022706985474,0.9923413991928101,0.9871705770492554,0.9973735809326172,0.9884387254714966,0.5043790340423584,0.03583996370434761,0.37566307187080383,0.9915711879730225,0.9852365851402283,0.9971328973770142
17,0.9900811314582825,0.514795184135437,0.027467526495456696,0.00020000001,0.3756502866744995,0.9922780394554138,0.9872783422470093,0.9973577260971069,0.9879787564277649,0.5117272734642029,0.034293241798877716,0.37566307187080383,0.9899499416351318,0.9852920770645142,0.9966073036193848
18,0.991382896900177,0.5425066351890564,0.023946816101670265,4.0000003e-05,0.3756502568721771,0.9931780099868774,0.9885771870613098,0.9976530075073242,0.9899081587791443,0.5446113348007202,0.029762597754597664,0.37566307187080383,0.9918454885482788,0.9870878458023071,0.9972231984138489
19,0.9916315674781799,0.5541471838951111,0.0230316873639822,4.0000003e-05,0.3756502568721771,0.9932597875595093,0.989043116569519,0.9976891875267029,0.9894500374794006,0.5451846718788147,0.03231928125023842,0.3756631016731262,0.9905971884727478,0.9877104759216309,0.9968301653862
20,0.9917107224464417,0.560571551322937,0.022677985951304436,4.0000003e-05,0.3756502568721771,0.9931780099868774,0.9893131256103516,0.9976681470870972,0.9899609088897705,0.5529212355613708,0.029650548473000526,0.37566307187080383,0.9917070269584656,0.987401008605957,0.9971808195114136
21,0.9919025897979736,0.5637009739875793,0.022292360663414,4.0000003e-05,0.3756502568721771,0.9932684302330017,0.9895330667495728,0.9976987242698669,0.9900745153427124,0.5602849721908569,0.030020782724022865,0.37566307187080383,0.9914187788963318,0.9878095388412476,0.9970946311950684
22,0.9919404983520508,0.5695998072624207,0.0220742579549551,4.0000003e-05,0.37565022706985474,0.9932857751846313,0.989615261554718,0.9977056980133057,0.9901684522628784,0.5596047639846802,0.02894642949104309,0.37566307187080383,0.9916560053825378,0.9877594709396362,0.9971703290939331
23,0.9920696020126343,0.5714605450630188,0.021730022504925728,4.0000003e-05,0.37565022706985474,0.9933369159698486,0.9897978901863098,0.9977224469184875,0.9900983572006226,0.5591906905174255,0.029431404545903206,0.37566307187080383,0.9916284084320068,0.9876888394355774,0.9971650838851929
24,0.9922537207603455,0.5787404775619507,0.021179812029004097,4.0000003e-05,0.3756503164768219,0.9934807419776917,0.9900000691413879,0.9977745413780212,0.9901240468025208,0.5583080053329468,0.02936369553208351,0.3756631016731262,0.9917306900024414,0.9877405762672424,0.9971980452537537
25,0.9924601912498474,0.5804542899131775,0.020696818828582764,8.000001e-06,0.37565022706985474,0.9935949444770813,0.9902583956718445,0.997811496257782,0.9902818202972412,0.5688486099243164,0.02923201583325863,0.37566307187080383,0.9915406703948975,0.9881313443183899,0.9971392750740051
26,0.9925701022148132,0.5859560966491699,0.020393667742609978,8.000001e-06,0.37565019726753235,0.9936743378639221,0.9903754591941833,0.9978377223014832,0.9902384281158447,0.5713182687759399,0.0295586995780468,0.37566307187080383,0.9913156628608704,0.9882699847221375,0.9970678091049194
27,0.9926406145095825,0.5879396796226501,0.020191555842757225,1.6000001e-06,0.37565019726753235,0.9936743378639221,0.9905035495758057,0.9978393316268921,0.990267276763916,0.5711851716041565,0.02960132248699665,0.37566307187080383,0.9914010763168335,0.9882593154907227,0.9970960021018982
28,0.9926534295082092,0.5883559584617615,0.020157288759946823,1.6000001e-06,0.37565019726753235,0.9937196373939514,0.9904876947402954,0.9978533983230591,0.990282416343689,0.5714505910873413,0.0295060146600008,0.3756631016731262,0.9914327263832092,0.9882494211196899,0.9971059560775757
29,0.9926630258560181,0.5884965658187866,0.020115505903959274,1e-06,0.37565019726753235,0.9937333464622498,0.9904853701591492,0.9978580474853516,0.9902705550193787,0.571698784828186,0.02959451451897621,0.3756631016731262,0.99139004945755,0.9882761240005493,0.9970930218696594
30,0.9926623702049255,0.5891932249069214,0.020116137340664864,1e-06,0.3756503164768219,0.9936984181404114,0.9905281662940979,0.9978473782539368,0.9902785420417786,0.5716332793235779,0.029578503221273422,0.37566304206848145,0.9914196133613586,0.9882631301879883,0.9971023797988892
31,0.9926691651344299,0.5888497233390808,0.02011164464056492,1e-06,0.3756502866744995,0.9937389492988586,0.9904929399490356,0.9978592991828918,0.9902722239494324,0.5718864798545837,0.029620753601193428,0.37566307187080383,0.9913966059684753,0.9882772564888,0.9970949292182922
